work_item,target,action,position,other,confidence,frequency
塗装,,塗装,,,40,68
取消,,,,,0,57
左サイドガード脱着,ガード,脱着,左,サイド,100,37
錆止め塗装,,塗装,,錆止め,40,32
反射板取替,反射板,取替,,,80,26
燃料タンク脱着,タンク,脱着,,燃料,80,26
スプリングシート4箇所亀裂溶接,シート,溶接,,スプリング4箇所亀裂,80,26
取り付け部分修正,,取り付け,,部分修正,40,22
取付部分修正,,取付,,部分修正,40,21
インナーバンパー,バンパー,,インナー,,60,19
ライニング8枚張替,,張替,,ライニング8枚,40,17
コーキング処理,,,,,0,16
フェンダー脱着,フェンダー,脱着,,,80,16
燃料タンクバンド２本取替,タンク,取替,,燃料バンド２本,80,16
リヤバンパー取替,バンパー,取替,,リヤ,80,15
左ファーストステップ,ステップ,,左,ファースト,60,15
他部品組替,,組替,,他部品,40,14
下回り塗装,,塗装,下,回り,60,14
カバー,カバー,,,,40,14
コーキング入替,,,,,0,13
フロントバンパー,バンパー,,フロント,,60,13
右後ろ煽りドアスケット取替,ドア,取替,右,後ろ煽りスケット,100,13
燃料タンクバンド2本取替,タンク,取替,,燃料バンド2本,80,13
左フィニッシャー,フィニッシャー,,左,,60,13
左ヘッドライト,ライト,,左,ヘッド,60,13
ボルト折れ込み修理,,修理,,ボルト折れ込み,40,13
ライニング4枚張替,,張替,,ライニング4枚,40,13
右コーナーパネル脱着,パネル,脱着,右,コーナー,100,12
フェンダーステー脱着,フェンダー,脱着,,ステー,80,12
フロントリッド,,,フロント,リッド,20,12
修正,,修正,,,40,12
ブラケット取替,ブラケット,取替,,,80,11
カバー取替,カバー,取替,,,80,11
リレーバルブ交換,,交換,,リレーバルブ,40,11
建付け調整,,調整,,建付け,40,10
ヘッドライト,ライト,,,ヘッド,40,10
右ヘッドライト,ライト,,右,ヘッド,60,10
左タイヤハウスカバー脱着,タイヤ,脱着,左,ハウスカバー,100,10
ステー脱着,ステー,脱着,,,80,9
躍場左縞鋼板脱着,鋼板,脱着,左,躍場縞,100,9
バンド２本取替,,取替,,バンド２本,40,9
リベット打ち替え,,,,,0,9
ステー曲がり直し,ステー,直し,,曲がり,80,9
反射板取替加工,反射板,取替,,加工,80,9
右フィニッシャー,フィニッシャー,,右,,60,9
エアードライヤー,,,,,0,9
フォグランプ,ランプ,,,フォグ,40,9
部品組替,,組替,,部品,40,8
燃料タンクバンド1本取替,タンク,取替,,燃料バンド1本,80,8
ボルト切断取替,,取替,,ボルト切断,40,8
亀裂溶接,,溶接,,亀裂,40,8
エンジンカバー脱着,カバー,脱着,,エンジン,80,8
フロントグリル脱着,グリル,脱着,フロント,,100,8
燃料入替,,,,,0,8
ライニング張替4枚,,張替,,ライニング4枚,40,8
サイドガード脱着,ガード,脱着,サイド,,100,8
ストライカー交換,,交換,,ストライカー,40,8
フラッシャー交換,,交換,,フラッシャー,40,8
コーキング,,,,,0,8
右ファーストステップ,ステップ,,右,ファースト,60,8
左後ろスケット取替,,取替,左,後ろスケット,60,7
リヤバンパー,バンパー,,,リヤ,40,7
ステー脱着曲がり直し,ステー,脱着,,曲がり直し,80,7
ボルト折れ込み取外し加工,,加工,外,ボルト折れ込み取し,60,7
フロントグリル取替,グリル,取替,フロント,,100,7
調整,,調整,,,40,7
ウィング蝶番グリスアップ,ウィング,,,蝶番グリスアップ,40,7
グリスアップ,,,,,0,7
右ドア内張脱着,ドア,脱着,右,内張,100,7
左フォグランプ,ランプ,,左,フォグ,60,7
ライニング張替8枚,,張替,,ライニング8枚,40,7
右ドアーストリップゴム脱着,ドア,脱着,右,ーストリップゴム,100,7
ウィング蝶番点検,ウィング,,,蝶番点検,40,7
ねじ山修正,,修正,,ねじ山,40,7
燃料タンク,タンク,,,燃料,40,7
ボルト折れ込み取外し,,,外,ボルト折れ込み取し,20,6
スカッフプレート,,,,,0,6
ドライバーシート脱着,シート,脱着,,ドライバー,80,6
消火器取付,,取付,,消火器,40,6
左コーナーパネル脱着,パネル,脱着,左,コーナー,100,6
作業部塗装,,塗装,,作業部,40,6
メッキパーツ取付,,取付,,メッキパーツ,40,6
ネジ山修正,,修正,,ネジ山,40,6
左サイドガードASSY脱着,ガード,脱着,左,サイドASSY,100,6
躍場縞鋼板全面脱着,鋼板,脱着,,躍場縞全面,80,6
左ミラー,ミラー,,左,,60,6
タンクバンド2本取替,タンク,取替,,バンド2本,80,6
補強製作取付加工,,製作,,補強取付加工,40,6
ブラケット曲がり直し,ブラケット,直し,,曲がり,80,6
燃料タンクバンド取替,タンク,取替,,燃料バンド,80,6
シャシ,,,,,0,6
折損溶接,,溶接,,折損,40,6
左右リヤショックアブソーバー取替,,取替,左,右リヤショックアブソーバー,60,6
点検,,,,,0,6
ライニング2枚張替,,張替,,ライニング2枚,40,6
フラッシャー脱着,,脱着,,フラッシャー,40,6
リレーバルブ取替,,取替,,リレーバルブ,40,6
左右ステップブラケット脱着修正,ステップ,脱着,左,右ブラケット修正,100,6
取り付け部修正,,取り付け,,部修正,40,6
ステップブラケット脱着修正,ステップ,脱着,,ブラケット修正,80,6
左コーナーパネル取替,パネル,取替,左,コーナー,100,6
右タイヤハウスカバー脱着,タイヤ,脱着,右,ハウスカバー,100,6
左右ファーストステップブラケット脱着修正,ステップ,脱着,左,右ファーストブラケット修正,100,6
バイザー,,,,,0,6
ストライカー取替,,取替,,ストライカー,40,5
右前スケット取替,,取替,右,前スケット,60,5
部品組み換え,,,,,0,5
シルバー塗装,,塗装,,シルバー,40,5
他部品付替え,,付替,,他部品え,40,5
アンダーミラー取替,ミラー,取替,,アンダー,80,5
インナーバンパー修正,バンパー,修正,インナー,,100,5
左サイドガード折損溶接,ガード,溶接,左,サイド折損,100,5
嚙み込みボルト切断取替,,取替,,嚙み込みボルト切断,40,5
左右ショックアブソーバー取替,,取替,左,右ショックアブソーバー,60,5
取替,,取替,,,40,5
泥除けゴム脱着,ゴム,脱着,,泥除け,80,5
左右フロントショックアブソーバー取替,,取替,左,右フロントショックアブソーバー,60,5
リフレクター取替,,取替,,リフレクター,40,5
右ドアー建付け調整,ドア,調整,右,ー建付け,100,5
清掃,,,,,0,5
左右泥除けゴム取替加工,ゴム,取替,左,右泥除け加工,100,5
ラッチ,,,,,0,5
右コーナーパネル,パネル,,右,コーナー,60,5
グリル脱着,グリル,脱着,,,80,5
ドア建付け調整,ドア,調整,,建付け,80,5
バンド取替,,取替,,バンド,40,5
ライニング張替,,張替,,ライニング,40,5
左コーナーパネル,パネル,,左,コーナー,60,5
ライニング12枚張替,,張替,,ライニング12枚,40,5
ミラー付替え,ミラー,付替,,え,80,5
オイルミスト取替,,取替,,オイルミスト,40,5
セカンドステップ,ステップ,,,セカンド,40,5
ロアフェンダー交換,フェンダー,交換,ロア,,100,5
ステイ修正,,修正,,ステイ,40,5
左セカンドステップ,ステップ,,左,セカンド,60,5
ショートパーツ,,,,,0,5
左コーナーパネル取替え,パネル,取替,左,コーナーえ,100,5
フロアーマット,,,ロア,フーマット,20,5
ジャバラパイプ脱着,パイプ,脱着,,ジャバラ,80,4
左タイヤハウスカバー脱着修正,タイヤ,脱着,左,ハウスカバー修正,100,4
他付替え,,付替,,他え,40,4
右サイドガード脱着,ガード,脱着,右,サイド,100,4
左右反射板取替,反射板,取替,左,右,100,4
亀裂カット溶接,,溶接,,亀裂カット,40,4
リヤバンパー脱着,バンパー,脱着,,リヤ,80,4
前後ナンバーボルト脱着タップ掛け,,脱着,前,後ナンバーボルトタップ掛け,60,4
サイドアンダーミラー取替,ドア,取替,サイド,アンダーミラー,100,4
テールパイプ,パイプ,,,テール,40,4
コーキング加工,,加工,,コーキング,40,4
コーナーカバー取替,カバー,取替,,コーナー,80,4
燃料タンク取替,タンク,取替,,燃料,80,4
脱着,,脱着,,,40,4
左右ステー取替,ステー,取替,左,右,100,4
燃料抜き入れ,,,,,0,4
中間ホース取替,ホース,取替,,中間,80,4
全面タップ掛け,,,,,0,4
燃料抜き,,,,,0,4
作業灯ステー4個製作取付加工,ステー,製作,,作業灯4個取付加工,80,4
インナーバンパー取替,バンパー,取替,インナー,,100,4
右テールランプ脱着,ランプ,脱着,右,テール,100,4
反射板2枚取替,反射板,取替,,2枚,80,4
右ドアー内張脱着,ドア,脱着,右,ー内張,100,4
大型反射板取替,反射板,取替,,大型,80,4
化粧板脱着付替え,,脱着,,化粧板付替え,40,4
タンクバンド２本取替,タンク,取替,,バンド２本,80,4
ジャバラパイプ取替,パイプ,取替,,ジャバラ,80,4
ステー,ステー,,,,40,4
バンド2本,,,,,0,4
ラッチ交換,,交換,,ラッチ,40,4
燃料タンク交換,タンク,交換,,燃料,80,4
右フラッシャー,,,右,フラッシャー,20,4
バンパー,バンパー,,,,40,4
取替加工,,取替,,加工,40,4
ステー修正,ステー,修正,,,80,4
ライニング16枚張替,,張替,,ライニング16枚,40,4
アウトリガー突っ張り棒製作取替,,取替,,アウトリガー突っ張り棒製作,40,4
エンジン折れ込みボルト修理,,修理,,エンジン折れ込みボルト,40,4
エアードライヤー交換,,交換,,エアードライヤー,40,4
オイルミスト交換,,交換,,オイルミスト,40,4
左コーナーカバー,カバー,,左,コーナー,60,4
自重計取替,,取替,,自重計,40,4
左ミラーアーム,ミラー,,左,アーム,60,4
グリル,グリル,,,,40,4
反射板取替穴掘り加工,反射板,取替,,穴掘り加工,80,4
フラッシャー,,,,,0,4
左テールランプ脱着,ランプ,脱着,左,テール,100,4
エンドカバー,カバー,,,エンド,40,4
右メッキコーナーパネル取替,パネル,取替,右,メッキコーナー,100,4
右ヘッドライト取替,ライト,取替,右,ヘッド,100,4
ステー取替,ステー,取替,,,80,4
スプラッシュボード鈑金,,鈑金,,スプラッシュボード,40,4
タイヤハウスカバー脱着,タイヤ,脱着,,ハウスカバー,80,4
ナンバーブラケット溶接,ブラケット,溶接,,ナンバー,80,4
ドアー建付け調整,ドア,調整,,ー建付け,80,4
フェンダー,フェンダー,,,,40,4
アンダーカバー交換,カバー,交換,,アンダー,80,4
塗料,,,,,0,4
左セカンドステップ脱着,ステップ,脱着,左,セカンド,100,4
床枠塗装,,塗装,,床枠,40,4
スカッフプレート脱着,,脱着,,スカッフプレート,40,3
ウェザーストリップゴム取替,ゴム,取替,,ウェザーストリップ,80,3
タップ掛け,,,,,0,3
右前セイコーラック取替加工,,取替,右,前セイコーラック加工,60,3
リブ制作取付溶接3か所,,溶接,,リブ制作取付3か所,40,3
助手席,,,,,0,3
フロアーマット脱着,,脱着,ロア,フーマット,60,3
テールパイプ取替,パイプ,取替,,テール,80,3
右バンパーフィニッシャー取替,バンパー,取替,右,フィニッシャー,100,3
テールパイプ脱着,パイプ,脱着,,テール,80,3
煽りドアスケット調整,ドア,調整,,煽りスケット,80,3
床板前側破損部分張替加工,,加工,前,床板側破損部分張替,60,3
折損部修正取付溶接,,溶接,,折損部修正取付,40,3
バックカメラ中央移設加工,,加工,中央,バックカメラ移設,60,3
リヤステップバンパーASSY取替,バンパー,取替,,リヤステップASSY,80,3
枠骨曲がり直し,,直し,,枠骨曲がり,40,3
蝶番脱着曲がり直し,,脱着,,蝶番曲がり直し,40,3
亀裂ステン溶接,,溶接,,亀裂ステン,40,3
マウントブリッジ脱着,,脱着,,マウントブリッジ,40,3
格子蓋制作取付溶接2ヵ所,,溶接,,格子蓋制作取付2ヵ所,40,3
左ドアパネルASSY取替,ドア,取替,左,パネルASSY,100,3
ドアフラッシャー取替,ドア,取替,,フラッシャー,80,3
ミラー,ミラー,,,,40,3
サイドミラー,ミラー,,サイド,,60,3
ミラーアーム取替,ミラー,取替,,アーム,80,3
右ライトベゼル取替,ライト,取替,右,ベゼル,100,3
ボルト折れ込み取外し取替加工,,取替,外,ボルト折れ込み取し加工,60,3
左右リヤ泥除けゴム取替加工,ゴム,取替,左,右リヤ泥除け加工,100,3
右テールランプ,ランプ,,右,テール,60,3
ヒンジ,ヒンジ,,,,40,3
インナーバンパー引出し修正,バンパー,修正,インナー,引出し,100,3
UDマーク,,,,,0,3
カバー取付,カバー,取付,,,80,3
繋ぎホース取替,ホース,取替,,繋ぎ,80,3
ドライバーシート座面取替,シート,取替,,ドライバー座面,80,3
取付部分修正鈑金,,取付,,部分修正鈑金,40,3
左後ろ煽りドア取替,ドア,取替,左,後ろ煽り,100,3
右ドア建付け調整,ドア,調整,右,建付け,100,3
右フォグランプ,ランプ,,右,フォグ,60,3
工具箱脱着,,脱着,,工具箱,40,3
左ドアフラッシャー取替,ドア,取替,左,フラッシャー,100,3
ウィング雨漏れ点検,ウィング,,,雨漏れ点検,40,3
付替え加工,,加工,,付替え,40,3
燃料タンク点検,タンク,,,燃料点検,40,3
左右煽りドア開閉補助装置4個調整,ドア,調整,左,右煽り開閉補助装置4個,100,3
ステー脱着鈑金,ステー,脱着,,鈑金,80,3
ゲージ付替え,,付替,,ゲージえ,40,3
インナーバンパー引出し鈑金,バンパー,引出し,インナー,鈑金,100,3
ライニング張替12枚,,張替,,ライニング12枚,40,3
アーム交換,,交換,,アーム,40,3
アッパーフェンダー,フェンダー,,アッパー,,60,3
バックランプ交換,ランプ,交換,,バック,80,3
補強取付加工,,加工,,補強取付,40,3
嚙み込みボルト切断取替加工,,取替,,嚙み込みボルト切断加工,40,3
取付部修正,,取付,,部修正,40,3
右サイドガード折損溶接,ガード,溶接,右,サイド折損,100,3
フロントリッド嚙み込み修理,,修理,フロント,リッド嚙み込み,60,3
ブレーキライニング8枚張替,,張替,,ブレーキライニング8枚,40,3
右ドア鈑金,ドア,鈑金,右,,100,3
アンダーミラー交換,ミラー,交換,,アンダー,80,3
部品付替え,,付替,,部品え,40,3
取り付け部分鈑金,,取り付け,,部分鈑金,40,3
メイン燃料タンク,タンク,,,メイン燃料,40,3
ホース２本取替,ホース,取替,,２本,80,3
左右ヘッドライト,ライト,,左,右ヘッド,60,3
カプラースイッチ取り換え加工,,加工,,カプラースイッチ取り換え,40,3
フロントグリル,グリル,,フロント,,60,3
マッドガード脱着,ガード,脱着,,マッド,80,3
左サイドガード,ガード,,左,サイド,60,3
ステイ脱着曲がり直し,,脱着,,ステイ曲がり直し,40,3
ボルト折れ込み取り換え加工,,加工,,ボルト折れ込み取り換え,40,3
センター泥除けプレート脱着切断加工,,脱着,センター,泥除けプレート切断加工,60,3
