target_name,action_name,position_name,memo,unit_price,quantity,raw_label,task_type
タイヤ,交換,右,夏タイヤから冬タイヤに交換,5500,1,タイヤ交換 右,structured
タイヤ,交換,左,夏タイヤから冬タイヤに交換,5500,1,タイヤ交換 左,structured
タイヤ,交換,右前,フロントタイヤ交換,5800,1,前タイヤ右側交換,structured
タイヤ,交換,左前,フロントタイヤ交換,5800,1,前タイヤ左側交換,structured
タイヤ,点検,,空気圧チェック,800,4,タイヤ点検一式,structured
ホイール,脱着,右,ホイール取り外し作業,3000,1,ホイール脱着 右,structured
ホイール,脱着,左,ホイール取り外し作業,3000,1,ホイール脱着 左,structured
ホイール,清掃,左右,アルミホイール洗浄,2500,1,ホイール清掃,structured
ライト,交換,右,ヘッドライト交換,8500,1,ライト交換 右側,structured
ライト,交換,左,ヘッドライト交換,8500,1,ライト交換 左側,structured
ライト,調整,前後,ヘッドライト光軸調整,1200,1,ライト調整,structured
コーナーパネル,修理,右前,右フロントパネル板金,15000,1,コーナーパネル修理,structured
コーナーパネル,塗装,右前,右フロントパネル塗装,12000,1,パネル塗装 右前,structured
フラッシャー,交換,右,右ウインカー交換,3500,1,フラッシャー交換,structured
バンパー,修理,,バンパー傷修理,8000,1,バンパー修理,structured
バンパー,塗装,,バンパー全塗装,18000,1,バンパー塗装,structured
ライニング,張替,右,内装張り替え,9000,1,ライニング張替,structured
スプリングシート,溶接,左後,スプリングシート溶接補修,15000,1,シート溶接,structured
タイヤ,交換,右,タイや交換,5500,1,タイや交換 みぎ,fuzzy
ホイール,脱着,左,ほいーる だっちゃく,3000,1,ホイール　だっちゃく　ひだり,fuzzy
ライト,交換,,らいと こうかん,8500,1,ライト　コウカン,fuzzy
コーナーパネル,修理,右,こーなーぱねる しゅうり,15000,1,コーナー板金,fuzzy
バンパー,塗装,,バンパ塗装,18000,1,ばんぱー　とそう,fuzzy
タイヤ,点検,,タイヤ点検,800,1,タイア　点検,fuzzy
ホイール,清掃,左右,ホイール清掃,2500,1,ホイル　せいそう,fuzzy
ライト,調整,前,ライト調整,1200,1,らいと　ちょうせい,fuzzy
フラッシャー,交換,左,フラッシャー交換,3500,1,ふらっしゃー　こうかん,fuzzy
ライニング,張替,左,ライニング張替,9000,1,らいにんぐ　はりかえ,fuzzy
スプリングシート,溶接,右,スプリングシート溶接,15000,1,すぷりんぐしーと　ようせつ,fuzzy
タイヤ,交換,右後,タイヤ交換 後ろ右,5200,1,うしろみぎ　タイヤこうかん,fuzzy
ホイール,脱着,左前,ホイール脱着 前左,2800,1,まえひだり　ホイール　だっちゃく,fuzzy
コーナーパネル,脱着,左後,コーナーパネル脱着,7500,1,うしろひだり　パネル　だっちゃく,fuzzy
バンパー,脱着,,バンパー脱着,4500,1,バンパー　だっちゃく,fuzzy
タイヤ,交換,,タイヤ交換,5000,1,タイヤ　こうかん,fuzzy
ライト,取付,右,ライト取付,4200,1,みぎ　ライト　とりつけ,fuzzy
調整,調整,前,調整作業,1500,1,ちょうせい　まえ,fuzzy
清掃,清掃,左右,清掃作業,2000,1,せいそう　さゆう,fuzzy
修理,修理,右前,修理作業,12000,1,しゅうり　みぎまえ,fuzzy
塗装,塗装,左後,塗装作業,15000,1,とそう　ひだりうしろ,fuzzy